n 		 spin_accpt		Ecalc		 Mabs_calc
32		4026		-425.125		60.375
32		4132		-441		64.8125
33		239		-6.545455		0.181818
33		437		-14.181818		2.060606
33		607		-24.969697		3.212121
33		775		-35.393939		5.090909
33		918		-47.151515		6.545455
33		1053		-60.727273		7.333333
33		1163		-75.030303		9.818182
33		1289		-88.242424		11.212121
33		1418		-101.090909		12.666667
33		1546		-114.060606		13.878788
33		1694		-125.575758		15.69697
33		1849		-137.939394		17.454545
33		1991		-149.333333		19.454545
33		2156		-161.69697		20.909091
33		2315		-172.969697		22.666667
33		2450		-185.454545		23.757576
33		2576		-197.575758		24.969697
33		2727		-209.818182		26.121212
33		2876		-221.69697		27.212121
33		3020		-233.818182		29.272727
33		3165		-245.818182		32
33		3317		-257.575758		35.818182
33		3469		-269.090909		40
33		3610		-282.424242		45.090909
33		3745		-295.515152		50.606061
33		3850		-309.212121		56.424242
33		3970		-323.393939		61.878788
33		4105		-337.454545		67.030303
33		4240		-350.909091		71.757576
33		4352		-364.363636		76
33		4471		-379.272727		81.272727
33		4569		-393.818182		85.575758
33		4687		-407.636364		89.757576
34		230		-7.647059		0.882353
34		403		-16.470588		1.117647
34		570		-27.176471		1.176471
34		734		-38		1.705882
34		887		-48.823529		2.176471
34		1041		-58.235294		2.294118
34		1211		-68.588235		3.117647
34		1372		-79.529412		3.176471
34		1529		-89.647059		3.411765
34		1671		-100.705882		4.235294
34		1819		-112.235294		4.352941
34		1966		-123.176471		5.117647
34		2101		-134.588235		5.470588
34		2237		-147.882353		5.941176
34		2364		-161.058824		6.470588
34		2499		-174.117647		7.529412
34		2610		-190.235294		8.176471
34		2720		-205.411765		8.235294
34		2826		-221.176471		8.529412
34		2935		-237.058824		9.117647
34		3021		-252.352941		9.705882
34		3131		-266.705882		10.058824
34		3218		-282.235294		10.235294
34		3303		-298.705882		11.058824
34		3390		-314.352941		11.117647
34		3467		-329.882353		11.235294
34		3572		-345.764706		12.117647
34		3657		-360.823529		13.176471
34		3746		-376.352941		13.941176
34		3883		-389.764706		14.882353
34		4010		-402.941176		15.294118
34		4146		-415.764706		16.764706
34		4274		-430		18.470588
34		4390		-445.176471		18.647059
35		227		-6.628571		0.228571
35		405		-14.857143		0.342857
35		565		-24.571429		0.342857
35		747		-33.714286		0.685714
35		910		-43.771429		0.857143
35		1067		-53.828571		1.085714
35		1198		-66.171429		1.371429
35		1316		-77.942857		1.428571
35		1455		-90.971429		1.771429
35		1580		-104.457143		2.4
35		1675		-117.942857		3.2
35		1806		-132.457143		5.428571
35		1914		-146.285714		7.885714
35		2010		-160.114286		10.457143
35		2131		-174.171429		12.971429
35		2241		-188.228571		16.057143
35		2338		-202.057143		18.4
35		2448		-215.542857		20.742857
35		2559		-229.142857		23.714286
35		2667		-241.828571		26.914286
35		2784		-254.285714		30.628571
35		2906		-266.171429		32.971429
35		3045		-279.085714		35.257143
35		3172		-292.914286		37.142857
35		3260		-305.942857		39.142857
35		3374		-319.085714		41.485714
35		3512		-331.542857		43.6
35		3641		-344		45.314286
35		3782		-356.457143		47.085714
35		3898		-368.914286		49.2
35		4017		-382.171429		51.942857
35		4147		-395.885714		55.028571
35		4251		-409.828571		58.8
35		4356		-423.657143		61.142857
35		4460		-437.942857		63.6
36		252		-6.666667		0.666667
36		433		-15.888889		2.5
36		613		-25.666667		4.666667
36		776		-36.555556		6.777778
36		933		-47.111111		8.944444
36		1078		-57.555556		10.611111
36		1235		-69.111111		12
36		1375		-81.111111		15.166667
36		1499		-94		18.222222
36		1615		-105.555556		21.388889
36		1771		-117.777778		25.333333
36		1894		-130.111111		28.555556
36		2012		-143.333333		32
36		2134		-156.333333		37.444444
36		2258		-169.111111		42.666667
36		2366		-182.222222		47.888889
36		2492		-195.111111		53.333333
36		2604		-209		58.555556
36		2740		-220.666667		62.444444
36		2879		-232.222222		65.944444
36		3030		-244.555556		69.944444
36		3155		-257.222222		73.444444
36		3268		-270.111111		77.444444
36		3387		-283.333333		82.166667
36		3490		-296.888889		87.277778
36		3608		-309.666667		91.388889
36		3716		-324.444444		96.611111
36		3814		-338.555556		100.833333
36		3912		-352.333333		105.055556
36		4012		-366		109.5
36		4115		-379.555556		113.666667
36		4216		-392.555556		117.777778
