n  spin_accpt	Ecalc	 Mabs_calc
2771	763	-798.973656	399.739444
2781	830	-798.764473	399.686444
2791	822	-798.992476	399.742745
2801	752	-798.890396	399.719386
2811	840	-798.810388	399.696194
2821	806	-798.881248	399.715704
2831	718	-798.961498	399.736489
2841	839	-798.724393	399.674058
2851	828	-798.836899	399.701157
2861	854	-798.822789	399.69661
2871	816	-798.838036	399.705329
2881	882	-798.785144	399.691079
2891	854	-798.836389	399.703909
2901	870	-798.854188	399.70424
2911	852	-798.852628	399.703882
2921	786	-798.903115	399.722013
2931	798	-798.96827	399.735244
2941	791	-798.922815	399.725944
2951	784	-798.929177	399.72755
2961	756	-799.005741	399.746707
2971	928	-798.758667	399.681589
2981	860	-798.887622	399.718886
2991	930	-798.748245	399.681712
3001	824	-798.944352	399.732756
3011	920	-798.886749	399.715709
3021	888	-798.85336	399.709368
3031	840	-798.919169	399.726823
3041	930	-798.847747	399.70536
3051	912	-798.826614	399.700426
3061	842	-798.816073	399.698138
3071	794	-798.918919	399.725822
3081	868	-798.984745	399.741642
3091	882	-798.955678	399.73342
3101	932	-798.877781	399.714931
3111	972	-798.882674	399.715204
3121	948	-798.850368	399.707145
3131	910	-798.758224	399.685723
3141	906	-798.89462	399.720471
3151	807	-798.946366	399.733418
3161	958	-798.749763	399.676052
3171	887	-798.896247	399.719962
3181	940	-798.861993	399.713298
3191	992	-798.746474	399.680351
3201	940	-798.790378	399.690097
3211	978	-798.860168	399.708502
3221	942	-798.819	399.698851
3231	972	-798.755803	399.680594
3241	836	-798.954644	399.732799
3251	902	-798.983697	399.739772
3261	906	-798.934069	399.730144
3271	926	-798.813818	399.698563
3281	978	-798.847912	399.704358
3291	878	-799.019143	399.751443
3301	959	-798.835504	399.701909
3311	956	-798.843854	399.702809
3321	934	-798.905149	399.721771
3331	944	-798.945662	399.732813
3341	926	-798.90452	399.72164
3351	986	-798.799164	399.693823
3361	934	-798.944362	399.730437
3371	1032	-798.812222	399.696233
3381	974	-798.883171	399.715469
3391	946	-798.865231	399.713359
3401	1018	-798.843869	399.705381
3411	938	-798.903547	399.716799
3421	947	-798.822567	399.698918
3431	990	-798.954241	399.733022
3441	980	-798.913107	399.724499
3451	958	-798.951029	399.73399
3461	972	-798.868535	399.708755
3471	918	-798.976664	399.741285
3481	1002	-798.916403	399.723643
3491	1074	-798.775136	399.688341
3501	976	-798.904313	399.721223
3511	1032	-798.758189	399.68499
3521	1094	-798.827606	399.698949
3531	968	-798.949873	399.734353
3541	952	-799.014968	399.749788
3551	1034	-798.820614	399.696987
3561	996	-798.919405	399.724235
3571	1082	-798.858583	399.702604
3581	1054	-798.803686	399.696733
3591	1050	-798.802562	399.695906
3601	1050	-798.758123	399.68231
3611	1100	-798.803655	399.69316
3621	1040	-798.794808	399.694007
3631	1036	-798.833379	399.704214
3641	1077	-798.771766	399.68635
3651	1138	-798.748836	399.682279
3661	1094	-798.861513	399.709369
3671	1087	-798.894034	399.718878
3681	1158	-798.706873	399.668568
3691	1090	-798.814413	399.698185
3701	1062	-798.851121	399.708187
3711	1083	-798.891943	399.717596
3721	1034	-798.934695	399.728568
3731	1100	-798.859287	399.709997
3741	1104	-798.869821	399.709169
3751	1112	-798.78859	399.691816
3761	986	-798.969423	399.736772
3771	1127	-798.738796	399.679661
3781	998	-798.915631	399.724412
3791	1002	-798.984964	399.740438
3801	1106	-798.871876	399.713233
3811	1018	-799.020729	399.751246
3821	1086	-798.881968	399.715781
3831	1099	-798.929783	399.730097
3841	1028	-798.95548	399.732882
3851	1186	-798.799273	399.694105
3861	1080	-798.911163	399.721834
3871	1078	-798.964609	399.737019
3881	1110	-798.962123	399.734089
3891	1203	-798.832177	399.701876
3901	1076	-798.921302	399.720584
3911	1126	-798.748146	399.677832
3921	1126	-798.884978	399.713338
3931	1120	-798.875604	399.714576
3941	1088	-798.906876	399.721898
3951	1128	-798.877246	399.71349
3961	1132	-798.856854	399.706135
3971	1114	-798.888945	399.712919
3981	1178	-798.800301	399.688018
3991	1176	-798.865447	399.711852
4001	1110	-798.823294	399.702074
4011	1148	-798.884069	399.715782
4021	1186	-798.877891	399.715494
4031	1162	-798.789382	399.689903
4041	1216	-798.814155	399.696115
4051	1195	-798.768699	399.683041
4061	1172	-798.907658	399.717803
4071	1158	-798.887743	399.718005
4081	1171	-798.811076	399.691252
4091	1128	-798.923491	399.728184
4101	1142	-798.946598	399.731773
4111	1180	-798.85478	399.706641
4121	1153	-798.931327	399.729677
4131	1158	-798.89131	399.716291
4141	1156	-798.890123	399.718426
4151	1226	-798.866779	399.713322
4161	1188	-798.906994	399.723143
4171	1190	-798.908655	399.721889
4181	1324	-798.843339	399.705812
4191	1268	-798.78597	399.69172
4201	1218	-798.80219	399.693406
4211	1131	-798.864878	399.711232
4221	1202	-798.866619	399.71239
4231	1208	-798.942094	399.731506
4241	1202	-798.864419	399.711389
4251	1214	-798.890614	399.719595
4261	1270	-798.91387	399.72307
4271	1308	-798.765629	399.68532
4281	1262	-798.837655	399.702873
4291	1250	-798.789093	399.690981
4301	1198	-798.945362	399.73262
4311	1334	-798.69543	399.669682
4321	1272	-798.909512	399.723675
4331	1135	-799.00254	399.746017
4341	1304	-798.781848	399.686247
4351	1248	-798.83613	399.701678
4361	1354	-798.723229	399.674845
4371	1202	-798.997026	399.746054
4381	1282	-798.824926	399.699155
4391	1298	-798.802095	399.697108
4401	1206	-798.915701	399.725517
4411	1282	-798.872818	399.711177
4421	1244	-799.011083	399.74983
4431	1284	-798.835477	399.70255
4441	1284	-798.842603	399.704571
4451	1278	-798.916199	399.724556
4461	1316	-798.808339	399.696481
4471	1350	-798.737643	399.677477
4481	1270	-798.862754	399.710779
4491	1316	-798.845691	399.705188
